Row,i01.a,i01.b,i01.c,i01.d,i01.e,i01.f,i01.g,i01.h,i01.i,i01.j,i01.k,i01.l,i01.m,i01.n,i01.o,i01.w.1,i01.w.2,i02,i05,i10,i11.a,i11.b,i11.c,i12,i13.1,i13.20.11,i13.20.12,i13.20.13,i13.20.14,i13.20.15,i13.20.16,i14.1,i14.2,i14.3,i15.a,i15.b,i15.c,i15.d,i15.e,i15.f,i15.g,i15.h,i15.i,i15.j,i15.k,i16,i17,i18,i19,i20,i20.w,i21.1,i21.w.1,i21.2,i22,i23.1,i23.2,i23.3,i24.a,i24.a.w,i24.b,i24.c,i24.d,i25,i26.a,i26.a.w,i26.b,i26.c,i26.d,i26.d.w,i26.e,i27.a,i27.a.w,i27.41,i27.41.w,i27.42,i27.42.w,i27.43,i27.43.w,i27.44,i27.44.w,i27.45,i27.45.w,i27.5,i28,i29,i30,i31,i32,i33,i34,i35,i36,i37,i37.w.1,i40.11.a,i40.11.b,i40.11.c,i40.11.d,i40.11.e,i40.11.f,i40.11.g,i40.11.h,i40.11.i,i40.11.j,i40.11.k,i40.11.l,i40.12,i40.13,i40.2,i40.3,i41,i45,i45.w,i50.a,i50.b,i51,i52,i55,i60.1,i60.2,i60.3,i61.1,i61.2,i62,i63,i64,i65,i66,i67,i70,i71,i72,i73,i74,i75,i80,i85,i90.1.a,i90.1.b,i90.1.c,i90.1.d,i90.1.e,i90.1.f,i90.1.g,i90.2.a,i90.2.b,i90.2.c,i90.3.a,i90.3.b,i90.4.a,i90.4.b,i90.5.a,i90.5.b,i90.5.c,i90.5.d,i90.5.e,i90.5.f,i91,i92,i93,i95,i99,m01
p01.a,7.99,30.79,3.61,50.76,72.59,18.85,13.40,72.60,44.22,70.47,59.07,91.29,61.38,50.60,88.62,27.31,40.20,87.40,28.63,49.50,98.46,1.76,3.20,89.42,79.63,42.65,93.82,54.69,78.75,51.28,50.11,94.24,44.42,63.01,19.77,74.84,29.18,33.04,63.28,38.33,73.91,66.46,10.31,88.63,1.02,53.85,90.06,1.95,87.36,17.50,46.37,15.92,37.16,45.95,75.77,72.85,62.39,57.78,36.88,37.37,65.73,28.61,51.02,72.15,20.81,23.35,64.40,47.72,28.17,35.97,11.94,54.59,34.61,25.93,90.86,73.31,8.68,66.54,44.88,58.47,11.74,34.36,40.06,18.26,11.75,97.92,37.23,23.28,80.49,97.53,29.30,17.00,67.18,60.19,11.72,99.44,57.79,27.13,93.38,31.85,80.06,33.97,71.77,24.63,91.03,96.14,48.06,72.20,2.99,84.03,77.42,87.66,55.83,29.96,15.08,51.36,39.55,54.76,68.32,52.63,33.52,37.04,19.98,86.82,56.72,8.05,40.07,2.94,31.14,26.65,10.23,62.98,23.68,93.95,80.58,85.88,89.54,58.87,14.67,46.59,86.42,26.64,65.64,55.33,93.25,16.94,38.02,4.34,66.53,16.71,12.13,88.89,78.24,78.93,66.03,51.53,22.41,19.78,52.25,78.19,64.24,59.93,8.85,14.14
p01.b,61.56,8.38,33.10,37.30,64.22,28.10,7.01,30.73,60.50,41.09,43.80,32.75,46.76,34.30,27.32,79.43,28.31,85.19,21.63,94.91,96.14,99.30,11.46,61.22,12.33,1.91,81.04,62.76,97.92,82.95,18.40,74.08,8.21,1.83,72.61,15.50,85.15,34.47,91.08,61.25,66.81,34.96,16.68,51.57,74.39,21.54,13.99,21.42,15.39,54.61,75.17,89.29,9.73,56.57,92.78,77.27,37.47,80.21,26.55,27.74,97.59,68.21,25.06,23.67,40.38,13.19,18.41,84.93,26.65,40.23,60.75,12.50,35.16,42.96,36.01,20.27,45.10,14.63,4.62,65.41,96.01,73.61,39.20,20.54,37.79,67.38,73.87,20.84,49.97,55.71,76.32,93.30,64.89,23.01,99.99,23.65,50.75,85.64,15.28,13.81,53.38,21.74,85.93,90.09,11.34,87.63,73.83,18.94,12.97,42.13,84.44,78.11,97.88,81.64,22.90,64.82,10.62,76.99,7.61,77.37,76.47,74.10,89.10,98.46,41.55,23.98,44.58,40.32,13.65,8.19,82.67,70.83,51.48,9.44,64.90,94.15,37.07,2.27,29.10,97.80,52.41,30.38,10.09,64.56,10.99,26.67,97.83,75.95,41.41,3.48,97.43,6.71,6.10,97.51,48.13,89.56,48.41,99.20,77.67,88.53,32.00,82.82,79.10,52.10
p01.c,85.38,89.44,93.01,42.85,26.11,31.23,73.51,12.65,43.15,46.63,7.85,25.81,68.07,34.57,45.24,33.92,48.04,95.13,62.09,61.30,92.40,35.33,91.29,76.17,47.82,2.12,22.18,3.99,79.25,73.75,83.54,16.25,4.65,69.79,14.32,6.21,95.33,77.05,39.77,88.15,42.02,85.49,44.64,24.38,95.78,91.81,7.55,94.39,53.67,57.37,85.69,61.93,38.59,82.99,79.25,67.20,46.94,21.01,39.06,18.28,47.12,91.81,65.89,60.24,10.04,45.69,46.62,59.59,7.68,72.51,56.23,76.09,97.88,45.61,36.32,86.20,32.80,16.96,7.21,73.56,13.63,79.15,38.85,22.30,36.17,55.89,0.32,33.31,96.32,31.65,77.56,0.23,94.99,44.08,29.32,96.13,65.38,62.07,24.29,91.63,66.82,10.33,60.33,67.08,93.22,77.42,96.14,73.17,28.61,25.82,85.92,14.67,85.09,33.95,3.14,69.30,7.53,97.18,56.87,61.36,15.10,4.96,14.81,52.23,32.48,17.92,30.73,50.55,56.32,15.27,51.18,96.52,65.09,40.29,6.76,26.03,98.67,88.81,17.35,0.00,14.69,38.34,57.83,11.83,31.62,0.98,49.66,4.33,56.72,68.66,23.57,19.60,70.83,76.67,84.32,26.00,61.23,92.55,98.18,0.35,62.25,80.55,77.33,35.58
p01.d,92.18,38.79,97.27,22.65,61.08,58.36,73.19,88.29,64.22,81.91,94.46,53.76,39.07,49.41,56.94,37.06,79.11,25.21,63.50,43.33,48.29,44.17,65.26,22.02,93.25,21.22,62.32,23.55,96.56,87.24,68.68,98.96,25.79,38.91,50.97,50.24,77.69,27.66,20.91,39.65,46.21,84.52,13.54,3.68,22.62,80.81,90.00,36.80,14.20,91.90,96.59,55.72,23.97,49.30,30.31,98.36,70.10,5.83,61.39,88.50,12.04,56.24,23.35,75.68,96.43,22.43,64.51,70.62,18.87,13.80,95.93,76.36,72.06,96.64,36.23,51.42,20.49,99.29,75.15,48.56,29.76,27.79,94.21,19.28,25.95,71.37,98.70,16.45,62.10,43.42,31.03,25.91,91.22,45.75,53.81,64.38,54.27,3.00,73.73,92.04,26.95,49.89,89.81,52.34,13.12,2.89,84.50,7.52,76.87,79.79,93.20,69.62,29.47,10.45,66.20,36.46,32.90,2.22,10.34,34.93,51.04,97.26,6.37,16.81,60.64,83.08,50.93,82.24,66.30,28.48,47.76,47.44,89.26,55.81,35.20,76.49,30.94,71.09,26.10,97.55,21.92,39.87,72.46,62.69,37.78,26.90,99.06,32.66,30.19,55.74,34.86,15.11,73.45,26.75,0.21,52.69,39.20,65.90,91.99,50.97,79.26,7.36,49.76,86.76
p01.e,5.25,46.75,61.16,56.84,70.06,45.10,96.24,33.60,60.65,20.99,86.40,49.04,15.81,10.97,92.34,57.33,42.32,64.70,70.66,66.75,38.80,64.61,62.96,49.27,34.39,90.20,72.52,16.47,82.86,85.69,17.22,57.02,24.14,73.67,44.08,62.71,97.28,51.01,17.14,47.56,6.48,23.56,49.11,49.21,46.40,11.42,99.52,70.16,33.41,64.54,11.57,83.32,44.68,94.43,20.01,82.88,74.71,76.57,78.75,50.63,2.01,8.71,85.94,39.21,76.32,44.05,65.60,76.59,98.19,68.83,40.68,54.20,37.33,8.42,66.24,68.72,94.68,22.50,12.74,10.84,51.55,95.97,68.40,58.97,88.00,3.61,82.31,29.91,20.10,58.49,51.06,29.93,29.08,97.60,57.68,89.60,62.75,96.57,35.94,69.13,63.74,67.68,42.22,34.72,0.81,62.30,87.98,39.69,88.64,26.91,22.72,72.91,95.63,74.09,40.25,62.91,84.25,79.71,50.68,23.53,31.03,6.32,64.83,7.49,23.72,94.35,93.17,8.32,32.68,89.75,32.07,39.37,94.54,79.19,51.20,43.84,25.49,36.11,9.29,29.98,100.00,50.91,30.94,35.76,27.77,1.12,46.20,97.52,33.95,14.42,69.51,93.56,79.53,2.51,5.13,16.28,45.75,73.28,16.95,62.31,9.45,99.57,70.66,25.11
p01.f,22.66,40.13,81.34,69.58,62.75,58.68,9.78,80.80,19.44,15.36,47.68,21.85,4.88,95.38,88.74,43.53,69.05,89.83,90.62,56.11,76.44,69.22,50.10,88.78,62.61,35.12,81.14,81.24,69.84,46.44,71.32,66.05,43.21,64.30,37.05,98.72,38.62,42.18,22.29,3.12,81.33,13.55,53.94,75.26,83.64,7.51,39.60,34.89,90.96,72.80,36.41,19.54,40.62,79.32,22.94,17.50,77.40,9.01,71.92,17.71,15.03,83.09,26.90,84.67,21.80,46.78,90.51,25.54,42.19,99.24,54.84,3.19,73.20,34.88,41.89,57.73,25.19,71.66,22.63,75.52,26.03,25.63,18.35,28.71,11.51,89.96,16.45,99.40,31.52,73.74,62.34,3.43,41.30,83.54,26.71,76.43,48.26,90.06,58.00,24.53,8.47,57.78,18.44,57.98,84.88,38.27,6.16,34.96,41.01,3.30,37.82,77.08,8.07,21.74,40.22,69.82,48.41,71.71,5.53,32.93,4.71,36.10,66.76,42.50,86.60,90.80,33.64,51.21,76.50,20.94,34.34,81.90,42.99,15.22,14.55,49.48,21.39,6.15,53.00,6.88,53.94,5.86,99.82,97.55,51.86,96.41,2.49,38.49,78.66,61.97,55.62,31.53,18.92,3.92,73.98,95.30,9.64,76.94,24.93,0.80,36.78,70.13,47.99,89.87
p01.g,8.39,65.07,75.22,5.02,55.32,43.98,99.81,50.04,59.93,93.60,38.97,28.93,54.92,22.58,93.64,33.74,64.84,39.83,8.90,44.86,57.23,29.56,63.40,37.80,65.53,35.11,59.29,40.53,48.77,18.14,86.80,15.82,6.83,66.60,87.53,59.00,46.08,42.00,5.92,76.89,39.19,78.89,13.35,32.62,35.34,27.18,94.51,65.40,67.94,51.71,47.96,38.26,44.90,13.80,74.73,38.93,71.91,25.77,77.53,44.20,49.01,17.00,51.97,16.68,40.10,77.40,34.85,87.05,74.02,22.96,71.16,11.62,58.20,56.18,21.71,57.46,43.55,93.76,29.40,68.91,90.59,20.55,68.22,89.90,76.22,23.26,17.09,49.77,40.06,72.28,48.17,87.71,13.53,76.87,61.09,36.17,87.57,10.67,77.64,55.68,94.66,68.28,71.01,0.61,77.90,17.43,54.75,65.01,27.17,18.68,7.49,23.34,17.31,60.56,68.33,43.13,67.46,45.62,10.26,40.43,5.51,6.93,17.74,51.45,25.59,73.97,29.60,78.23,50.51,40.74,99.81,64.56,1.79,85.67,66.28,90.90,94.76,36.99,81.08,85.74,43.42,49.87,6.60,9.84,16.39,36.02,18.06,11.52,0.70,55.04,13.41,98.37,29.20,49.88,36.31,85.38,2.45,29.60,48.77,38.67,53.57,61.95,7.17,26.76
p01.h,89.83,20.21,35.86,24.83,10.57,44.60,12.11,10.58,40.33,2.64,14.87,30.62,75.64,97.73,21.93,83.07,87.63,39.34,46.15,69.73,67.17,87.19,9.03,73.94,45.31,31.89,55.26,99.03,50.94,9.17,10.21,94.29,89.23,80.30,40.24,65.43,56.59,29.63,31.93,22.00,75.70,36.03,73.05,20.64,73.80,70.30,79.93,42.91,54.95,34.76,36.34,53.59,87.82,36.76,29.65,41.41,71.24,17.20,0.57,93.34,92.60,82.82,72.48,67.22,14.73,10.19,53.85,90.17,89.89,87.47,88.07,81.00,63.80,59.13,55.74,65.33,40.68,39.30,18.15,44.41,84.70,56.03,2.68,76.00,3.83,97.69,69.97,63.96,99.84,23.83,76.62,86.43,81.61,83.75,63.24,80.28,11.51,8.85,40.77,40.90,75.37,49.01,66.80,53.64,5.02,22.52,44.57,85.31,86.56,83.20,94.02,66.81,65.37,65.56,33.70,51.89,83.90,16.62,94.67,47.14,4.69,33.17,79.79,73.33,48.87,30.17,9.82,2.53,87.69,2.44,15.99,38.66,12.04,72.23,36.79,94.45,50.60,91.51,36.63,39.93,41.20,1.96,92.23,53.28,73.96,90.65,87.42,8.87,9.05,84.49,15.05,63.27,5.75,67.67,54.68,61.58,48.25,98.23,36.93,74.02,19.05,3.21,11.76,29.19
p01.i,37.16,4.30,71.57,16.80,82.97,4.73,36.91,32.60,44.20,88.44,74.29,50.09,20.12,86.94,72.42,73.90,60.27,6.18,46.97,1.99,23.59,60.75,19.05,63.19,45.13,87.50,41.20,58.47,19.87,2.31,87.75,81.28,57.41,30.82,74.12,30.20,67.91,49.53,87.78,71.77,86.02,90.62,8.17,3.16,5.15,6.40,44.06,61.45,32.53,70.79,65.77,25.03,72.09,61.91,99.47,83.50,86.73,53.57,51.49,87.61,95.54,17.30,22.30,3.20,17.61,36.39,20.63,88.95,26.05,17.16,75.15,17.65,36.09,89.80,13.76,51.21,22.92,55.00,54.88,21.77,83.84,69.43,2.94,25.65,50.80,57.53,61.48,33.56,88.90,5.85,82.52,64.07,9.83,22.12,42.26,58.27,17.22,41.32,83.39,24.39,84.31,68.67,70.47,13.66,78.44,66.63,31.39,23.32,43.89,65.41,35.65,47.81,8.50,74.80,80.17,97.07,96.90,26.56,55.77,8.41,54.11,84.03,29.28,27.45,43.85,9.12,21.70,86.50,24.72,19.65,83.70,62.86,96.73,11.06,31.01,31.60,48.86,45.23,68.70,11.32,67.39,4.39,83.44,22.30,65.05,72.30,53.29,99.15,15.66,25.76,46.71,50.91,33.61,39.68,92.54,0.93,11.34,21.23,74.04,50.01,47.97,38.83,33.20,22.99
p01.j,81.48,17.55,12.43,33.41,50.74,64.76,77.63,63.59,58.44,4.83,33.09,90.73,88.12,6.27,97.79,16.52,40.31,65.61,19.67,11.22,3.26,65.50,66.19,28.35,17.76,83.07,33.22,23.80,83.18,34.01,50.74,88.88,52.85,53.98,30.96,82.75,55.17,34.64,50.13,79.10,41.87,77.13,40.87,10.87,93.69,2.11,7.69,17.09,91.44,54.10,41.36,62.71,33.40,98.50,40.03,11.27,13.16,74.83,1.91,73.87,60.18,84.35,66.12,84.46,84.84,17.02,0.83,90.05,13.01,90.50,81.04,84.64,69.13,80.42,64.43,51.69,62.49,13.70,84.59,11.08,38.17,46.98,22.21,24.42,72.41,41.22,32.15,16.06,1.71,52.94,95.13,57.41,76.23,41.47,64.85,80.34,72.95,52.80,11.14,80.18,90.16,13.59,5.39,14.51,6.22,8.62,9.47,91.14,25.52,81.85,26.70,14.88,59.58,76.73,83.36,27.82,50.07,35.39,65.80,19.32,86.42,45.11,6.38,94.84,48.37,5.78,51.18,75.17,13.13,45.37,85.80,51.18,20.12,7.02,26.75,49.51,16.08,68.83,98.48,52.45,82.02,15.06,32.62,61.35,16.39,39.50,94.72,44.28,50.21,79.79,12.23,41.52,23.36,47.77,66.12,95.96,47.68,68.67,7.35,65.11,9.97,43.52,56.75,95.84
