COUNTRY,FLOW,PRODUCT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,Production,Hard coal (if no detail),97.21,67.91,28.71,85.92,78.54,68.12,66.23,96.18,69.42,50.60,41.24,58.76,57.34,58.17,35.92,20.37,62.70,92.93,76.82,86.84,66.23,81.60,34.67,33.13,50.59,76.84,95.13,43.20,72.16,9.92,61.75,39.71,42.19,67.39,16.42,0.13,66.05,95.48,2.66,30.34,86.50,59.62,13.86,82.78,28.60,55.11,21.53,20.60,45.05,33.50,57.44,69.47,78.59,11.91,53.45,56.86,23.21,70.95,21.84,83.71,14.28,77.58
Austria,Production,Brown coal (if no detail),39.86,2.92,10.31,49.53,86.11,10.26,74.33,23.51,33.70,81.82,12.45,67.37,57.06,93.77,46.13,18.49,72.62,67.32,98.23,67.71,26.63,57.20,18.59,49.57,13.43,57.68,2.15,11.64,59.15,18.74,27.89,50.45,96.18,25.43,20.00,83.59,6.65,14.75,26.73,26.01,57.15,81.09,93.67,18.09,16.72,94.66,37.59,55.17,3.01,59.87,85.77,75.69,28.92,87.06,8.42,88.11,14.56,34.75,20.90,64.85,44.60,23.48
Austria,Production,Anthracite,74.83,86.25,45.53,8.76,88.18,83.97,42.68,25.13,13.32,88.75,83.91,32.12,26.16,14.33,48.38,58.58,32.90,98.91,95.24,16.95,45.22,56.55,11.78,50.49,68.92,93.34,42.46,86.23,67.26,67.93,86.25,54.23,94.08,87.84,43.54,45.75,89.00,31.01,36.34,29.07,95.56,3.94,30.47,79.17,72.41,66.92,17.71,45.46,59.72,15.95,32.22,40.94,14.27,7.69,99.55,83.27,99.34,81.87,24.81,86.41,33.19,89.19
Austria,Production,Coking coal,43.35,52.88,10.21,1.94,63.56,61.25,85.77,97.95,48.91,44.05,27.37,41.47,64.22,63.95,19.36,52.84,49.18,6.04,12.40,99.75,24.04,83.73,17.93,67.13,60.06,61.66,97.32,25.80,44.59,9.98,21.82,1.53,88.65,3.03,57.00,83.03,87.79,66.63,37.93,37.31,31.10,25.22,70.34,77.35,59.97,42.20,99.00,60.86,8.27,27.33,79.15,95.66,82.37,99.70,41.23,42.85,44.57,45.83,7.17,18.46,43.46,95.63
Austria,Production,Other bituminous coal,40.62,63.97,12.08,97.57,61.48,69.31,50.27,3.53,55.07,30.37,69.29,17.22,31.55,49.64,18.39,83.71,57.27,88.80,47.83,30.85,39.99,93.87,46.00,34.33,13.44,89.88,91.91,8.78,71.10,15.65,22.20,55.48,23.99,68.40,42.65,71.85,28.83,52.05,10.34,54.58,88.64,32.60,39.73,6.28,42.33,70.80,58.37,9.53,14.40,45.69,18.59,93.95,82.58,31.85,75.98,88.42,96.91,28.74,73.13,98.38,76.31,32.10
Austria,Production,Sub-bituminous coal,15.98,99.49,97.66,4.24,16.90,56.84,32.80,52.59,97.06,82.41,6.03,2.32,65.54,94.81,53.94,92.86,14.26,0.48,89.31,66.69,49.06,55.08,81.82,86.51,64.12,86.55,37.85,87.70,43.63,38.93,13.57,1.28,59.78,70.98,8.07,96.81,46.31,12.52,42.98,6.96,5.75,58.61,75.00,50.22,39.19,75.31,18.00,78.59,19.93,63.84,61.13,27.82,17.63,2.76,45.71,68.26,65.58,2.89,34.15,49.50,27.39,25.99
Austria,Production,Lignite,12.40,81.93,54.12,84.44,91.71,99.47,91.43,98.53,50.71,96.30,91.26,16.96,95.65,41.59,48.02,40.74,86.85,60.82,15.00,20.49,30.43,11.51,9.61,29.86,66.11,27.68,63.30,69.40,61.64,66.19,97.12,51.32,8.67,0.57,86.15,31.11,88.73,13.09,26.37,55.53,1.42,17.41,70.40,32.33,56.31,82.11,23.48,31.90,52.58,37.29,15.34,58.39,7.11,85.20,81.80,48.00,79.23,45.91,39.94,94.64,38.56,29.48
Austria,Production,Patent fuel,14.88,39.46,2.77,91.57,90.59,85.96,32.00,84.17,30.32,10.44,71.58,27.42,94.41,93.11,13.65,35.23,9.33,23.18,16.86,50.97,78.56,35.91,58.91,26.50,48.11,34.76,71.29,39.96,88.08,16.56,55.81,73.43,91.28,80.50,7.30,42.77,57.30,55.81,47.06,43.18,2.95,32.69,51.88,72.07,2.72,75.46,53.63,52.42,79.09,79.94,97.90,60.33,9.89,94.32,91.39,39.70,47.11,23.90,37.37,44.71,7.97,60.83
Austria,Production,Coke oven coke,2.46,98.76,79.54,13.86,95.04,84.92,61.01,14.00,98.20,9.26,13.39,48.67,93.17,98.41,91.72,63.29,14.82,11.09,18.70,81.86,84.32,63.82,50.82,28.86,18.23,66.08,12.04,44.53,49.76,78.09,19.77,1.19,64.11,36.12,56.13,17.94,44.10,55.54,17.01,58.09,31.32,15.77,61.60,43.76,38.54,75.78,48.07,8.35,66.60,34.97,34.64,81.12,79.96,27.72,45.35,9.13,95.68,10.49,51.28,66.63,12.97,80.93
Austria,Production,Gas coke,75.86,61.38,89.49,64.99,94.90,62.89,44.61,59.35,71.56,14.85,28.32,56.65,9.65,12.22,82.40,15.72,58.51,60.65,85.96,49.00,96.65,73.09,22.44,98.45,75.29,89.87,5.89,25.21,57.53,28.22,81.92,96.68,37.35,75.41,60.36,6.84,31.52,90.65,84.05,91.56,62.15,65.60,15.55,96.88,30.84,74.59,85.32,7.68,82.45,39.49,96.15,91.23,84.43,12.16,30.87,78.03,22.99,14.29,57.74,29.28,86.16,98.59
