Dataset,ValidFromVersion,ValidToVersion,IEA.country.name,Product,Flow,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Coal mines,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Oil and gas extraction,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Blast furnaces,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Gas works,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Gasification plants for biogases,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Coke ovens,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Patent fuel plants,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; BKB/peat briquette plants,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Oil refineries,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Coal liquefaction plants,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Liquefaction (LNG) / regasification plants,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Gas-to-liquids (GTL) plants,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,"Total energy supply; Energy industry own use; Own use in electricity, CHP and heat plants",1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Pumped storage plants,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Energy industry own use; Nuclear industry,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
